nuclide,energy_ev,intensity,source
25al,974650.0,0.000000023,IAEA_Livechart_API
25al,974734.35,0.0000000008525,IAEA_Livechart_API
25al,1610400.0,0.00000440492,IAEA_Livechart_API
25al,1611616.0,0.000000282892,IAEA_Livechart_API
25al,1611700.35,0.00000001047252,IAEA_Livechart_API
28al,1777143.0,0.000857,IAEA_Livechart_API
28al,1778833.0,0.0000612,IAEA_Livechart_API
28al,1778973.54,0.00000403,IAEA_Livechart_API
32al,1939556.0,0.00008736,IAEA_Livechart_API
32al,1941246.0,0.000006228,IAEA_Livechart_API
32al,1941386.54,0.0000004104,IAEA_Livechart_API
32al,2287556.0,0.000006798,IAEA_Livechart_API
32al,2289246.0,0.00000048444,IAEA_Livechart_API
32al,2289386.54,0.000000031944,IAEA_Livechart_API
31al,1692886.0,0.00017765,IAEA_Livechart_API
31al,1694576.0,0.000012692,IAEA_Livechart_API
31al,1694716.5399999998,0.000000836,IAEA_Livechart_API
31al,2314796.0,0.0001482,IAEA_Livechart_API
31al,2316486.0,0.00001059,IAEA_Livechart_API
31al,2316626.54,0.000000696,IAEA_Livechart_API
31al,2785756.0,0.00000552,IAEA_Livechart_API
31al,2787446.0,0.0000003945,IAEA_Livechart_API
31al,2787586.5399999996,0.000000025995,IAEA_Livechart_API
34al,122356.0,0.60996,IAEA_Livechart_API
34al,124046.0,0.045084,IAEA_Livechart_API
34al,124186.54,0.0029172,IAEA_Livechart_API
34al,3324356.0,0.00015096,IAEA_Livechart_API
34al,3326046.0,0.0000107865,IAEA_Livechart_API
34al,3326186.54,0.00000071094,IAEA_Livechart_API
34al,4255156.0,0.0000326808,IAEA_Livechart_API
34al,4256846.0,0.00000233172,IAEA_Livechart_API
34al,4256986.54,0.0000001537344,IAEA_Livechart_API
26al,1128362.0,0.000025925,IAEA_Livechart_API
26al,1129578.0,0.000001665,IAEA_Livechart_API
26al,1129662.35,0.00000006175,IAEA_Livechart_API
26al,1807342.0,0.0005277304,IAEA_Livechart_API
26al,1808558.0,0.0000339184,IAEA_Livechart_API
26al,1808642.35,0.0000012559784,IAEA_Livechart_API
26al,2936692.0,0.0000005496,IAEA_Livechart_API
26al,2937908.0,0.000000035352,IAEA_Livechart_API
26al,2937992.35,0.0000000013104,IAEA_Livechart_API
35al,62256.0,1.539,IAEA_Livechart_API
35al,63946.0,0.1098,IAEA_Livechart_API
35al,64086.54,0.00711,IAEA_Livechart_API
35al,122356.0,0.0207,IAEA_Livechart_API
35al,124046.0,0.00153,IAEA_Livechart_API
35al,971936.0,0.000249039,IAEA_Livechart_API
35al,973626.0,0.0000178416,IAEA_Livechart_API
35al,973766.5399999999,0.000001174041,IAEA_Livechart_API
35al,3325116.0,0.00001628,IAEA_Livechart_API
35al,3326806.0,0.0000011627,IAEA_Livechart_API
35al,3326946.54,0.000000076615,IAEA_Livechart_API
37al,154156.0,0.04704,IAEA_Livechart_API
37al,155846.0,0.003392,IAEA_Livechart_API
37al,155986.53999999998,0.0002224,IAEA_Livechart_API
30al,398356.0,0.000009317,IAEA_Livechart_API
30al,400046.0,0.0000006671,IAEA_Livechart_API
30al,400186.54,0.00000004389,IAEA_Livechart_API
30al,419156.0,0.00001192,IAEA_Livechart_API
30al,420846.0,0.000000854,IAEA_Livechart_API
30al,420986.54,0.0000000562,IAEA_Livechart_API
30al,781156.0,0.000000339,IAEA_Livechart_API
30al,782846.0,0.0000000243,IAEA_Livechart_API
30al,782986.54,0.0000000016,IAEA_Livechart_API
30al,1261286.0,0.000551754,IAEA_Livechart_API
30al,1262976.0,0.000039382,IAEA_Livechart_API
30al,1263116.54,0.00000259434,IAEA_Livechart_API
30al,1309956.0,0.000024092,IAEA_Livechart_API
30al,1311646.0,0.0000017214,IAEA_Livechart_API
30al,1311786.54,0.00000011343,IAEA_Livechart_API
30al,1330636.0,0.000012369,IAEA_Livechart_API
30al,1332326.0,0.0000008835,IAEA_Livechart_API
30al,1332466.5399999998,0.00000005859,IAEA_Livechart_API
30al,1532276.0,0.000001536,IAEA_Livechart_API
30al,1533966.0,0.0000001096,IAEA_Livechart_API
30al,1534106.54,0.000000007232,IAEA_Livechart_API
30al,1730456.0,0.0000146234,IAEA_Livechart_API
30al,1732146.0,0.00000104346,IAEA_Livechart_API
30al,1732286.54,0.000000068816,IAEA_Livechart_API
30al,1842556.0,0.0000011264,IAEA_Livechart_API
30al,1844246.0,0.00000008048,IAEA_Livechart_API
30al,1844386.54,0.000000005296,IAEA_Livechart_API
30al,2233386.0,0.00036725,IAEA_Livechart_API
30al,2235076.0,0.000026195,IAEA_Livechart_API
30al,2235216.54,0.000001729,IAEA_Livechart_API
30al,2450756.0,0.00000003374,IAEA_Livechart_API
30al,2452446.0,0.000000002408,IAEA_Livechart_API
30al,2452586.5399999996,0.00000000015876,IAEA_Livechart_API
30al,2572956.0,0.0000040416,IAEA_Livechart_API
30al,2574646.0,0.000000288,IAEA_Livechart_API
30al,2574786.54,0.0000000189984,IAEA_Livechart_API
30al,2593546.0,0.0000242601,IAEA_Livechart_API
30al,2595236.0,0.00000173121,IAEA_Livechart_API
30al,2595376.54,0.0000001142367,IAEA_Livechart_API
30al,3041356.0,0.000000544,IAEA_Livechart_API
30al,3043046.0,0.000000038816,IAEA_Livechart_API
30al,3043186.54,0.0000000025584,IAEA_Livechart_API
30al,3376836.0,0.0000003336,IAEA_Livechart_API
30al,3378526.0,0.000000023796,IAEA_Livechart_API
30al,3378666.54,0.0000000015684,IAEA_Livechart_API
30al,3496486.0,0.00009075,IAEA_Livechart_API
30al,3498176.0,0.000006468,IAEA_Livechart_API
30al,3498316.54,0.00000042636,IAEA_Livechart_API
30al,3714156.0,0.00000035168,IAEA_Livechart_API
30al,3715846.0,0.000000025088,IAEA_Livechart_API
30al,3715986.54,0.0000000016534,IAEA_Livechart_API
30al,3767376.0,0.00000033194,IAEA_Livechart_API
30al,3769066.0,0.000000023674,IAEA_Livechart_API
30al,3769206.54,0.000000001561,IAEA_Livechart_API
30al,4808156.0,0.00000370833,IAEA_Livechart_API
30al,4809846.0,0.000000264546,IAEA_Livechart_API
30al,4809986.54,0.0000000174234,IAEA_Livechart_API
24al,424236.0,0.0741565,IAEA_Livechart_API
24al,425679.0,0.0051152,IAEA_Livechart_API
24al,425790.93,0.00027105,IAEA_Livechart_API
24al,820692.0,0.0000002646,IAEA_Livechart_API
