pl_name,hostname,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_dist,disc_facility
"KMT-2019-BLG-1552L b","KMT-2019-BLG-1552L",2.6000000000,0.6000000000,-0.8000000000,4600.00000000,"KMTNet"
"HD 45364 b","HD 45364",0.6793000000,0.0016000000,-0.0015000000,34.35400000,"La Silla Observatory"
"L 363-38 b","L 363-38",0.0480000000,0.0060000000,-0.0060000000,10.22950000,"Paranal Observatory"
"WASP-56 b","WASP-56",0.0561400000,0.0004000000,-0.0004100000,321.08400000,"SuperWASP"
"KMT-2019-BLG-2974L b","KMT-2019-BLG-2974L",2.0000000000,0.8000000000,-0.7000000000,6100.00000000,"KMTNet"
"TIC 279401253 b","TIC 279401253",0.3690000000,0.0030000000,-0.0030000000,285.58400000,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 45364 c","HD 45364",0.9020000000,0.0010000000,-0.0010000000,34.35400000,"La Silla Observatory"
"HD 167768 b","HD 167768",0.1512000000,0.0058000000,-0.0063000000,107.21400000,"Okayama Astrophysical Observatory"
"KMT-2019-BLG-0253L b","KMT-2019-BLG-0253L",3.1000000000,0.8000000000,-0.9000000000,4900.00000000,"KMTNet"
"OGLE-2018-BLG-0506L b","OGLE-2018-BLG-0506L",3.0000000000,0.7000000000,-0.8000000000,5600.00000000,"OGLE"
"TIC 279401253 c","TIC 279401253",0.5910000000,0.0050000000,-0.0060000000,285.58400000,"Multiple Observatories"
"HD 184010 d","HD 184010",1.9200000000,0.0120000000,-0.0120000000,60.79930000,"Okayama Astrophysical Observatory"
"HD 184010 b","HD 184010",0.9400000000,0.0050000000,-0.0010000000,60.79930000,"Okayama Astrophysical Observatory"
"NGTS-23 b","NGTS-23",0.0504000000,0.0120000000,-0.0120000000,1074.95000000,"Next-Generation Transit Survey (NGTS)"
"OGLE-2018-BLG-0977L b","OGLE-2018-BLG-0977L",2.0000000000,0.6000000000,-0.5000000000,6500.00000000,"OGLE"
"HAT-P-26 b","HAT-P-26",0.0474800000,0.0006000000,-0.0006000000,141.83700000,"HATNet"
"Kepler-1643 b","Kepler-1643",0.0531000000,,,341.77400000,"Kepler"
"KOI-7913 b","KOI-7913 A",0.1456000000,,,271.27700000,"Kepler"
"WASP-77 A b","WASP-77 A",0.0232336330,0.0000000370,-0.0000000370,105.16600000,"SuperWASP"
"KMT-2021-BLG-1391L b","KMT-2021-BLG-1391L",2.2900000000,0.5600000000,-0.7100000000,5720.00000000,"KMTNet"
"KMT-2021-BLG-1253L b","KMT-2021-BLG-1253L",1.5200000000,0.5700000000,-0.4100000000,6640.00000000,"KMTNet"
"KIC 3526061 b","KIC 3526061",5.1400000000,0.1600000000,-0.1600000000,401.22900000,"McDonald Observatory"
"WISE J033605.05-014350.4 b","WISE J033605.05-014350.4",0.9700000000,0.0500000000,-0.0500000000,,"James Webb Space Telescope (JWST)"
"Kepler-107 e","Kepler-107",0.1263800000,0.0009900000,-0.0009900000,525.99700000,"Kepler"
"OGLE-2018-BLG-1367L b","OGLE-2018-BLG-1367L",1.2100000000,0.3400000000,-0.3200000000,5370.00000000,"KMTNet"
"HAT-P-28 b","HAT-P-28",0.0434000000,0.0007000000,-0.0007000000,401.31900000,"HATNet"
"MOA-2022-BLG-249L b","MOA-2022-BLG-249L",1.6300000000,0.3500000000,-0.3500000000,2000.00000000,"MOA"
"DMPP-4 b","DMPP-4",0.0485300000,0.0003600000,-0.0019700000,25.32840000,"Multiple Observatories"
"OGLE-2018-BLG-1212L b","OGLE-2018-BLG-1212L",1.6800000000,1.4700000000,-0.6300000000,1550.00000000,"KMTNet"
"K2-2016-BLG-0005L b","K2-2016-BLG-0005L",4.1600000000,0.3200000000,-0.3200000000,5200.00000000,"K2"
"HN Lib b","HN Lib",0.1417000000,0.0023000000,-0.0023000000,6.24442000,"Calar Alto Observatory"
"Kepler-454 d","Kepler-454",5.1000000000,0.3400000000,-0.1900000000,230.86900000,"Roque de los Muchachos Observatory"
"WASP-64 b","WASP-64",0.0264800000,0.0002400000,-0.0002400000,369.92600000,"SuperWASP"
"Kepler-323 c","Kepler-323",0.0458000000,0.0011000000,-0.0011000000,454.88300000,"Kepler"
"TrES-4 b","TrES-4",0.0508400000,0.0005000000,-0.0005000000,515.98000000,"TrES"
"HAT-P-20 b","HAT-P-20",0.0361000000,0.0005000000,-0.0005000000,71.03740000,"HATNet"
"WASP-35 b","WASP-35",0.0431700000,0.0003300000,-0.0003300000,202.21800000,"SuperWASP"
"KMT-2021-BLG-2010L b","KMT-2021-BLG-2010L",1.7900000000,0.3000000000,-0.3800000000,7090.00000000,"KMTNet"
"Kepler-409 b","Kepler-409",0.3192000000,0.0060000000,-0.0060000000,68.17300000,"Kepler"
"Kepler-20 f","Kepler-20",0.1387000000,0.0027000000,-0.0027000000,282.56300000,"Kepler"
"KMT-2019-BLG-1216L b","KMT-2019-BLG-1216L",2.4400000000,1.1200000000,-1.1200000000,2740.00000000,"KMTNet"
"HD 74698 b","HD 74698",0.1210000000,0.0010000000,-0.0010000000,52.06480000,"La Silla Observatory"
"HD 112300 b","HD 112300",1.3300000000,0.0800000000,-0.1100000000,62.07324000,"Bohyunsan Optical Astronomical Observatory"
"HD 36384 b","HD 36384",1.3000000000,0.1000000000,-0.1000000000,209.30900000,"Bohyunsan Optical Astronomical Observatory"
"OGLE-2019-BLG-0249L b","OGLE-2019-BLG-0249L",1.8400000000,0.4400000000,-0.4400000000,6370.00000000,"OGLE"
"HD 74698 c","HD 74698",4.5000000000,0.2000000000,-0.2000000000,52.06480000,"La Silla Observatory"
"HD 6860 b","HD 6860",2.0300000000,0.0100000000,-0.0100000000,61.12469000,"Bohyunsan Optical Astronomical Observatory"
"Kepler-1655 b","Kepler-1655",0.1029000000,0.0014000000,-0.0014000000,213.26000000,"Kepler"
"HAT-P-3 b","HAT-P-3",0.0386600000,0.0004100000,-0.0004100000,134.55400000,"HATNet"
"HD 108236 b","HD 108236",0.0452700000,0.0009600000,-0.0008800000,64.59780000,"Transiting Exoplanet Survey Satellite (TESS)"
"VHS J125601.92-125723.9 b","VHS J125601.92-125723.9",350.0000000000,110.0000000000,-150.0000000000,12.70000000,"Paranal Observatory"
"Kepler-323 b","Kepler-323",0.0277800000,0.0006800000,-0.0006800000,454.88300000,"Kepler"
"Kepler-22 b","Kepler-22",0.8120000000,0.0110000000,-0.0130000000,194.64200000,"Kepler"
"Kepler-454 b","Kepler-454",0.0952800000,0.0013000000,-0.0009100000,230.86900000,"Kepler"
"Kepler-109 b","Kepler-109",0.0701000000,0.0019000000,-0.0019000000,474.86100000,"Kepler"
"Kepler-20 c","Kepler-20",0.0936000000,0.0018000000,-0.0018000000,282.56300000,"Kepler"
"K2-36 c","K2-36",0.0552800000,0.0002300000,-0.0002300000,109.74900000,"K2"
