pl_name,hostname,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassprov,sy_dist,disc_facility
"GJ 3021 b","GJ 3021",3.37000000,0.09000000,-0.09000000,"Msini",17.55590000,"La Silla Observatory"
"CoRoT-8 b","CoRoT-8",0.22000000,0.03000000,-0.03000000,"Mass",322.03700000,"CoRoT"
"Kepler-18 c","Kepler-18",0.05400000,0.00600000,-0.00600000,"Mass",433.04700000,"Kepler"
"Kepler-18 b","Kepler-18",0.02200000,0.01100000,-0.01100000,"Mass",433.04700000,"Kepler"
"HD 46375 b","HD 46375",0.22600000,0.01900000,-0.01900000,"Msini",29.55290000,"W. M. Keck Observatory"
"HD 136352 d","HD 136352",0.02775082,0.00292611,-0.00289464,"Mass",14.68200000,"La Silla Observatory"
"HD 221287 b","HD 221287",3.09000000,0.79000000,-0.79000000,"Msini",55.92310000,"La Silla Observatory"
"HD 33564 b","HD 33564",9.10000000,,,"Msini",20.95310000,"Haute-Provence Observatory"
"HD 189733 b","HD 189733",1.13000000,0.08000000,-0.08000000,"Mass",19.76380000,"Haute-Provence Observatory"
"WASP-107 b","WASP-107",0.09600000,0.00500000,-0.00500000,"Mass",64.74140000,"SuperWASP-South"
"Kepler-4 b","Kepler-4",0.07700000,0.01200000,-0.01200000,"Mass",487.91600000,"Kepler"
"WASP-38 b","WASP-38",3.44000000,0.36000000,-0.36000000,"Mass",136.24000000,"SuperWASP"
"HAT-P-13 c","HAT-P-13",14.28000000,0.28000000,-0.28000000,"Msini",246.81000000,"W. M. Keck Observatory"
"Kepler-18 d","Kepler-18",0.05200000,0.00400000,-0.00400000,"Mass",433.04700000,"Kepler"
"HAT-P-37 b","HAT-P-37",1.16900000,0.10300000,-0.10300000,"Mass",390.59400000,"HATNet"
"HD 129445 b","HD 129445",2.51000000,1.10000000,-0.54000000,"Mass",67.43860000,"Las Campanas Observatory"
"Kepler-419 c","Kepler-419",7.30000000,0.40000000,-0.40000000,"Mass",1011.36000000,"Kepler"
"HD 70573 b","HD 70573",6.10000000,0.40000000,-0.40000000,"Msini",59.18200000,"La Silla Observatory"
"HD 47536 b","HD 47536",7.32000000,2.36000000,-2.36000000,"Msini",122.53600000,"La Silla Observatory"
"WASP-67 b","WASP-67",0.43000000,0.09000000,-0.09000000,"Mass",189.46900000,"SuperWASP"
"CoRoT-14 b","CoRoT-14",7.60000000,0.60000000,-0.60000000,"Mass",1744.60000000,"CoRoT"
"MOA-2008-BLG-310L b","MOA-2008-BLG-310L",0.07360000,0.05300000,-0.05300000,"Mass",7700.00000000,"MOA"
"Kepler-419 b","Kepler-419",2.50000000,0.30000000,-0.30000000,"Mass",1011.36000000,"Kepler"
"HD 24040 b","HD 24040",5.00000000,0.36000000,-0.26000000,"Mass",46.62240000,"W. M. Keck Observatory"
"HD 11964 c","HD 11964",0.07880000,0.00970000,-0.00970000,"Msini",33.53690000,"W. M. Keck Observatory"
"CoRoT-6 b","CoRoT-6",2.96000000,0.34000000,-0.34000000,"Mass",645.29400000,"CoRoT"
"WASP-31 b","WASP-31",0.47800000,0.02900000,-0.02900000,"Mass",383.82900000,"SuperWASP"
"HD 108236 f","HD 108236",0.01490000,,,"M-R relationship",64.59780000,"CHaracterising ExOPlanets Satellite (CHEOPS)"
"Kepler-59 c","Kepler-59",0.01198760,0.00830637,-0.00308342,"Mass",1163.22000000,"Kepler"
"Kepler-58 c","Kepler-58",0.16675665,,,"Mass",969.25200000,"Kepler"
"HD 154857 c","HD 154857",2.58000000,0.16000000,-0.16000000,"Msini",63.44820000,"Anglo-Australian Telescope"
"Kepler-51 c","Kepler-51",0.01300000,0.00100000,-0.00100000,"Mass",783.83100000,"Kepler"
"BD-210397 c","BD-210397",4.80000000,0.60000000,-0.60000000,"Mass",23.73240000,"La Silla Observatory"
"Kepler-62 c","Kepler-62",0.01300000,,,"Mass",300.87400000,"Kepler"
"Kepler-62 b","Kepler-62",0.03000000,,,"Mass",300.87400000,"Kepler"
"CHXR 73 b","CHXR 73",12.56900000,8.37900000,-5.23700000,"Mass",190.37400000,"Hubble Space Telescope"
"FU Tau b","FU Tau",16.00000000,,,"Mass",133.49504660,"Spitzer Space Telescope"
"GJ 667 C b","GJ 667 C",0.01789000,0.00075000,-0.00075000,"Msini",7.24396000,"La Silla Observatory"
"HD 168443 c","HD 168443",17.30600000,2.55000000,-0.90600000,"Mass",39.62450000,"W. M. Keck Observatory"
"Kepler-59 b","Kepler-59",0.01290004,0.00880979,-0.00314635,"Mass",1163.22000000,"Kepler"
"Kepler-53 b","Kepler-53",0.34924506,,,"Mass",1366.07000000,"Kepler"
"HD 82943 c","HD 82943",1.95900000,0.04700000,-0.04700000,"Mass",27.59020000,"La Silla Observatory"
"HD 82943 b","HD 82943",1.68100000,0.02800000,-0.02800000,"Mass",27.59020000,"La Silla Observatory"
"UZ For b","UZ For",6.30000000,1.50000000,-1.50000000,"Mass",239.60387482,"Multiple Observatories"
"Kepler-69 b","Kepler-69",0.01780000,,,"M-R relationship",730.62500000,"Kepler"
"HIP 5158 c","HIP 5158",15.04000000,10.55000000,-10.55000000,"Msini",51.60260000,"La Silla Observatory"
"HU Aqr AB b","HU Aqr",5.90000000,0.60000000,-0.60000000,"Msin(i)/sin(i)",192.19807871,"Yunnan Astronomical Observatory"
"Kepler-37 e","Kepler-37",0.02548545,0.00534880,-0.00534880,"Msini",63.92070000,"Kepler"
"Kepler-65 d","Kepler-65",0.01300000,0.00250000,-0.00250000,"Mass",303.72800000,"Kepler"
"Kepler-52 c","Kepler-52",0.14284437,,,"Mass",321.54200000,"Kepler"
"Kepler-55 b","Kepler-55",0.13500000,0.11700000,-0.05700000,"Mass",578.79600000,"Kepler"
"UZ For c","UZ For",7.70000000,1.20000000,-1.20000000,"Mass",239.60387482,"Multiple Observatories"
"Kepler-413 b","Kepler-413",0.21100000,0.06900000,-0.06600000,"Mass",847.53600000,"Kepler"
