pl_name,hostname,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassprov,sy_dist,disc_facility
"HD 100655 b","HD 100655",1.61000000,0.34000000,-0.34000000,"Msini",137.17800000,"Bohyunsan Optical Astronomical Observatory"
"Kepler-203 b","Kepler-203",0.02240000,,,"M-R relationship",703.30200000,"Kepler"
"Kepler-520 c","Kepler-520",0.00390000,,,"M-R relationship",623.90100000,"Kepler"
"Kepler-51 e","Kepler-51",0.01699030,0.00471953,-0.00471953,"Mass",783.83100000,"Multiple Observatories"
"Kepler-138 e","Kepler-138",0.00135293,0.00066073,-0.00031464,"Mass",66.86240000,"Multiple Observatories"
"Kepler-330 b","Kepler-330",0.00752000,,,"M-R relationship",717.52700000,"Kepler"
"HD 114082 b","HD 114082",8.00000000,1.00000000,-1.00000000,"Mass",95.39060000,"La Silla Observatory"
"Kepler-167 c","Kepler-167",0.01080000,,,"M-R relationship",341.90800000,"Kepler"
"HD 180902 b","HD 180902",1.68500000,0.04100000,-0.04100000,"Msini",104.57700000,"W. M. Keck Observatory"
"Kepler-1137 b","Kepler-1137",0.01720000,,,"M-R relationship",921.77800000,"Kepler"
"Kepler-267 c","Kepler-267",0.01630000,,,"M-R relationship",264.99300000,"Kepler"
"HD 216520 b","HD 216520",0.03228141,0.00311487,-0.00311487,"Msini",19.55200000,"Multiple Observatories"
"TOI-2421 b","TOI-2421",0.33300000,0.07900000,-0.07900000,"Mass",327.92700000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-242 b","Kepler-242",0.02300000,,,"M-R relationship",600.24100000,"Kepler"
"TOI-5542 b","TOI-5542",1.32000000,0.10000000,-0.10000000,"Mass",348.84900000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-5238 b","TOI-5238",0.07470000,,,"M-R relationship",290.64600000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-62 d","Kepler-62",0.04400000,,,"Mass",300.87400000,"Kepler"
"K2-380 b","K2-380",0.02480000,,,"M-R relationship",249.30300000,"K2"
"TOI-4137 b","TOI-4137",1.44000000,0.17000000,-0.15000000,"Mass",334.99300000,"Transiting Exoplanet Survey Satellite (TESS)"
"K2-213 b","K2-213",0.00913000,,,"M-R relationship",389.70200000,"K2"
"TOI-3629 b","TOI-3629",0.26000000,0.02000000,-0.02000000,"Mass",130.09100000,"Transiting Exoplanet Survey Satellite (TESS)"
"DMPP-1 b","DMPP-1",0.05285871,0.00786588,-0.00786588,"Msini",62.53880000,"La Silla Observatory"
"DMPP-1 c","DMPP-1",0.03442109,0.00191927,-0.00185635,"Msini",62.53880000,"La Silla Observatory"
"75 Cet c","75 Cet",0.91200000,0.08800000,-0.14300000,"Msini",82.96130000,"Okayama Astrophysical Observatory"
"Kepler-1577 b","Kepler-1577",0.00474000,,,"M-R relationship",510.02900000,"Kepler"
"Kepler-656 b","Kepler-656",0.03120000,,,"M-R relationship",890.35200000,"Kepler"
"KOI-4978 b","KOI-4978",0.00085200,,,"M-R relationship",936.34100000,"Kepler"
"Kepler-751 b","Kepler-751",0.02080000,,,"M-R relationship",760.43000000,"Kepler"
"Kepler-606 b","Kepler-606",0.03450000,,,"M-R relationship",1215.11000000,"Kepler"
"Kepler-1575 b","Kepler-1575",0.00714000,,,"M-R relationship",1246.92000000,"Kepler"
"TOI-1695 b","TOI-1695",0.02001080,0.00314635,-0.00314635,"Mass",45.13090000,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 207832 b","HD 207832",0.56000000,0.09100000,-0.09100000,"Msini",58.92910000,"W. M. Keck Observatory"
"HD 102956 b","HD 102956",0.96000000,0.02300000,-0.02300000,"Msini",121.89000000,"W. M. Keck Observatory"
"TOI-700 b","TOI-700",0.00222000,,,"M-R relationship",31.12650000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1490 b","Kepler-1490",0.02980000,,,"M-R relationship",862.92000000,"Kepler"
"TOI-2364 b","TOI-2364",0.22500000,0.04300000,-0.04900000,"Mass",219.61400000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1260 c","TOI-1260",0.04153184,0.01330907,-0.01330907,"Mass",73.59770000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1260 d","TOI-1260",0.03725281,0.02451008,-0.02451008,"Mass",73.59770000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-377 b","Kepler-377",0.00790000,,,"M-R relationship",823.80400000,"Kepler"
"EPIC 212499991 b","EPIC 212499991",0.01000000,,,"M-R relationship",283.29000000,"K2"
"Kepler-227 c","Kepler-227",0.02980000,,,"M-R relationship",1083.06000000,"Kepler"
"Kepler-887 b","Kepler-887",0.01270000,,,"M-R relationship",886.58800000,"Kepler"
"GJ 3138 c","GJ 3138",0.01315168,0.00191927,-0.00185634,"Msini",28.47120000,"La Silla Observatory"
"TOI-2842 b","TOI-2842",0.37000000,0.05200000,-0.04700000,"Mass",460.99500000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2977 b","TOI-2977",1.68000000,0.26000000,-0.25000000,"Mass",,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2583 A b","TOI-2583 A",0.25000000,0.05800000,-0.05600000,"Mass",566.18900000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1503 b","Kepler-1503",0.01820000,,,"M-R relationship",1225.57000000,"Kepler"
"Kepler-1781 b","Kepler-1781",0.01970000,,,"M-R relationship",962.63000000,"Kepler"
"TOI-3023 b","TOI-3023",0.62000000,0.10000000,-0.09000000,"Mass",389.91600000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-198 d","Kepler-198",0.00930000,,,"M-R relationship",495.35800000,"Kepler"
"TOI-2133 b","TOI-2133",0.01950000,,,"M-R relationship",75.19730000,"Transiting Exoplanet Survey Satellite (TESS)"
"LHS 1903 c","LHS 1903",0.01431590,0.00229684,-0.00217098,"Mass",35.69170000,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 191939 b","HD 191939",0.03146352,0.00220245,-0.00220245,"Mass",53.60890000,"Transiting Exoplanet Survey Satellite (TESS)"
"HIP 948 b","HIP 948",20.60000000,9.85600000,-8.51300000,"Mass",34.85230000,"Multiple Observatories"
"Kepler-1204 b","Kepler-1204",0.03000000,,,"M-R relationship",1175.22000000,"Kepler"
"TOI-2587 A b","TOI-2587 A",0.21800000,0.05400000,-0.04600000,"Mass",373.67500000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-251 e","Kepler-251",0.02550000,,,"M-R relationship",924.62500000,"Kepler"
"Kepler-547 b","Kepler-547",0.04750000,,,"M-R relationship",378.97200000,"Kepler"
"Kepler-1828 b","Kepler-1828",0.01610000,,,"M-R relationship",871.81000000,"Kepler"
"Kepler-1328 b","Kepler-1328",0.00284000,,,"M-R relationship",813.54300000,"Kepler"
"Kepler-874 b","Kepler-874",0.04630000,,,"M-R relationship",1082.16000000,"Kepler"
"Kepler-164 d","Kepler-164",0.02070000,,,"M-R relationship",890.75800000,"Kepler"
"Kepler-32 b","Kepler-32",4.10000000,,,"Mass",323.84700000,"Kepler"
"Kepler-1150 b","Kepler-1150",0.00328000,,,"M-R relationship",358.51800000,"Kepler"
"ZTF J1230-2655 b","ZTF J1230-2655",22.10000000,,,"Mass",186.69000000,"Zwicky Transient Facility"
"TOI-3912 b","TOI-3912",0.40600000,0.07100000,-0.06800000,"Mass",465.99200000,"Transiting Exoplanet Survey Satellite (TESS)"
"K2-104 b","K2-104",0.01210000,,,"M-R relationship",189.28900000,"K2"
"HD 65216 b","HD 65216",1.29500000,0.06200000,-0.06200000,"Msini",35.12050000,"La Silla Observatory"
"HD 65216 c","HD 65216",2.03000000,0.11000000,-0.11000000,"Msini",35.12050000,"La Silla Observatory"
"Kepler-1151 b","Kepler-1151",0.01750000,,,"M-R relationship",682.43600000,"Kepler"
"TOI-2818 b","TOI-2818",0.71000000,0.26000000,-0.26000000,"Mass",312.67400000,"Transiting Exoplanet Survey Satellite (TESS)"
"HIP 65407 c","HIP 65407",0.78400000,0.05400000,-0.05400000,"Msini",61.78040000,"Haute-Provence Observatory"
"Kepler-124 c","Kepler-124",0.01170000,,,"M-R relationship",420.04600000,"Kepler"
"TOI-700 e","TOI-700",0.00257000,,,"M-R relationship",31.12650000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-999 b","Kepler-999",0.01910000,,,"M-R relationship",545.06300000,"Kepler"
"Oph 11 b","Oph 11",14.00000000,6.00000000,-5.00000000,"Mass",136.16559197,"Gemini Observatory"
"K2-11 b","K2-11",0.14000000,,,"M-R relationship",329.30900000,"K2"
"HD 38283 b","HD 38283",0.40000000,0.04000000,-0.04000000,"Msini",38.06150000,"Anglo-Australian Telescope"
"Kepler-518 b","Kepler-518",0.01600000,,,"M-R relationship",337.90100000,"Kepler"
"Kepler-265 d","Kepler-265",0.02130000,,,"M-R relationship",1280.25000000,"Kepler"
"HD 188015 b","HD 188015",1.50000000,0.13000000,-0.13000000,"Msini",50.67060000,"W. M. Keck Observatory"
"DMPP-1 d","DMPP-1",0.01485078,0.00254855,-0.00229684,"Msini",62.53880000,"La Silla Observatory"
"TOI-411 c","HD 22946",0.03058254,,,"Mass",62.77920000,"Transiting Exoplanet Survey Satellite (TESS)"
"TIC 257060897 b","TIC 257060897",0.63400000,0.04100000,-0.03300000,"Mass",505.70300000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-24 e","Kepler-24",0.08247155,,,"Mass",1156.81000000,"Kepler"
"TOI-3807 b","TOI-3807",1.04000000,0.15000000,-0.14000000,"Mass",421.74500000,"Transiting Exoplanet Survey Satellite (TESS)"
"HATS-54 b","HATS-54",0.75300000,0.05700000,-0.05700000,"Mass",748.58500000,"HATSouth"
"TOI-2525 b","TOI-2525",0.08400000,0.00500000,-0.00500000,"Mass",395.39800000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-4463 A b","TOI-4463 A",0.79400000,0.03900000,-0.04000000,"Mass",173.11700000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-797 b","Kepler-797",0.01680000,,,"M-R relationship",1315.26000000,"Kepler"
"HD 11755 b","HD 11755",5.63000000,0.92000000,-0.92000000,"Msini",235.04500000,"Bohyunsan Optical Astronomical Observatory"
"KOI-351 b","KOI-351",0.00714000,,,"M-R relationship",848.25400000,"Kepler"
"Kepler-1793 b","Kepler-1793",0.04340000,,,"M-R relationship",1189.88000000,"Kepler"
"Kepler-309 c","Kepler-309",0.02150000,,,"M-R relationship",544.56800000,"Kepler"
"HD 40307 c","HD 40307",5.87900000,,,"Mass",12.93630000,"La Silla Observatory"
"HD 7199 b","HD 7199",11.45000000,,,"Mass",36.15310000,"La Silla Observatory"
"K2-136 d","K2-136",0.00943906,,,"Mass",59.24740000,"K2"
"GJ 251 c","GJ 251",0.01220785,0.00248562,-0.00248562,"Msini",5.58057000,"Multiple Observatories"
"K2-200 b","K2-200",0.00766000,,,"M-R relationship",184.13100000,"K2"
"Kepler-922 b","Kepler-922",0.00819000,,,"M-R relationship",536.32300000,"Kepler"
"Kepler-1780 b","Kepler-1780",0.03990000,,,"M-R relationship",790.51600000,"Kepler"
"Kepler-509 b","Kepler-509",0.02130000,,,"M-R relationship",332.44300000,"Kepler"
"GJ 649 b","GJ 649",0.25800000,0.02300000,-0.02200000,"Msini",10.37960000,"W. M. Keck Observatory"
"Kepler-813 b","Kepler-813",0.01640000,,,"M-R relationship",840.00000000,"Kepler"
"HD 222582 b","HD 222582",8.37000000,0.40000000,-0.40000000,"Msini",42.15860000,"W. M. Keck Observatory"
"Kepler-1551 b","Kepler-1551",0.02380000,,,"M-R relationship",1463.72000000,"Kepler"
"Kepler-1352 b","Kepler-1352",0.00201000,,,"M-R relationship",670.82900000,"Kepler"
"Kepler-1422 b","Kepler-1422",0.01490000,,,"M-R relationship",2465.84000000,"Kepler"
"GJ 849 c","GJ 849",0.99000000,0.11000000,-0.11000000,"Msini",8.80058000,"W. M. Keck Observatory"
"EPIC 206042996 b","EPIC 206042996",0.01110000,,,"M-R relationship",451.76900000,"K2"
"HD 49674 b","HD 49674",0.10000000,0.01000000,-0.01000000,"Msini",43.03990000,"W. M. Keck Observatory"
"Kepler-26 d","Kepler-26",0.00390000,,,"M-R relationship",335.30700000,"Kepler"
"Kepler-229 d","Kepler-229",0.04450000,,,"M-R relationship",826.26500000,"Kepler"
"HIP 70849 b","HIP 70849",4.50000000,0.40000000,-0.30000000,"Mass",24.05720000,"La Silla Observatory"
"Kepler-320 c","Kepler-320",0.00771000,,,"M-R relationship",826.61300000,"Kepler"
"TOI-2338 b","TOI-2338",5.98000000,0.21000000,-0.20000000,"Mass",313.99600000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-926 b","Kepler-926",0.01870000,,,"M-R relationship",921.36100000,"Kepler"
"Kepler-106 e","Kepler-106",0.03500000,0.01800000,-0.01800000,"Mass",444.32200000,"Kepler"
"Kepler-402 b","Kepler-402",0.00624000,,,"M-R relationship",625.33900000,"Kepler"
"TOI-2589 b","TOI-2589",3.50000000,0.10000000,-0.10000000,"Mass",200.27300000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2096 c","TOI-2096",0.01360000,,,"M-R relationship",48.48090000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1202 b","Kepler-1202",0.02820000,,,"M-R relationship",1175.38000000,"Kepler"
"TOI-942 c","TOI-942",0.11641444,,,"Mass",152.60100000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-733 b","TOI-733",0.01799713,0.00220245,-0.00213952,"Mass",75.20920000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1474 b","Kepler-1474",0.01670000,,,"M-R relationship",1180.90000000,"Kepler"
"Kepler-128 c","Kepler-128",0.01063467,0.00210806,-0.00185635,"Mass",396.37900000,"Kepler"
"Kepler-1734 b","Kepler-1734",0.03060000,,,"M-R relationship",1482.83000000,"Kepler"
"Kepler-671 b","Kepler-671",0.02420000,,,"M-R relationship",1168.26000000,"Kepler"
"Kepler-186 c","Kepler-186",0.00660000,,,"M-R relationship",177.59400000,"Kepler"
"Kepler-339 b","Kepler-339",0.00819000,,,"M-R relationship",616.63700000,"Kepler"
"Kepler-102 d","Kepler-102",0.00943906,0.00409026,-0.00409026,"Mass",107.79600000,"Kepler"
"TOI-942 b","TOI-942",0.05034138,,,"Mass",152.60100000,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 80883 b","HD 80883",5.50000000,1.23000000,-1.05600000,"Mass",34.60110000,"Multiple Observatories"
"Kepler-777 b","Kepler-777",0.00869000,,,"M-R relationship",443.10600000,"Kepler"
"Kepler-83 c","Kepler-83",0.00638709,0.00163610,-0.00122708,"Mass",400.40900000,"Kepler"
"CoRoT-27 b","CoRoT-27",10.39000000,0.55000000,-0.55000000,"Mass",1010.28000000,"CoRoT"
"K2-131 b","K2-131",0.02485618,0.00409026,-0.00409026,"Mass",152.50900000,"K2"
"K2-141 b","K2-141",0.01563737,0.00110122,-0.00106976,"Mass",61.87360000,"K2"
"K2-141 c","K2-141",0.02517081,,,"Mass",61.87360000,"K2"
"Kepler-1206 b","Kepler-1206",0.01050000,,,"M-R relationship",762.01900000,"Kepler"
"HD 125595 b","HD 125595",11.11000000,,,"Mass",28.19890000,"La Silla Observatory"
"HD 179079 b","HD 179079",13.20000000,,,"Mass",69.71160000,"W. M. Keck Observatory"
"Kepler-102 e","Kepler-102",0.01478785,0.00566343,-0.00566343,"Mass",107.79600000,"Kepler"
"Kepler-68 b","Kepler-68",0.02526521,0.00210806,-0.00210806,"Mass",144.16600000,"Kepler"
"TOI-2152 A b","TOI-2152",2.83000000,0.38000000,-0.37000000,"Mass",303.00600000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2154 b","TOI-2154",0.92000000,0.19000000,-0.18000000,"Mass",296.46000000,"Transiting Exoplanet Survey Satellite (TESS)"
"K2-136 c","K2-136",0.05694897,0.00597807,-0.00566343,"Mass",59.24740000,"K2"
"Kepler-1602 b","Kepler-1602",0.00742000,,,"M-R relationship",629.80400000,"Kepler"
"OGLE-TR-56 b","OGLE-TR-56",1.39000000,0.18000000,-0.17000000,"Mass",282.83913869,"OGLE"
"Kepler-78 b","Kepler-78",0.00528587,0.00084952,-0.00084952,"Mass",124.37600000,"Kepler"
"K2-169 b","K2-169",0.00681000,,,"M-R relationship",235.86700000,"K2"
"Kepler-370 b","Kepler-370",0.00993000,,,"M-R relationship",1167.94000000,"Kepler"
"Kepler-1762 b","Kepler-1762",0.02530000,,,"M-R relationship",1663.74000000,"Kepler"
"Kepler-511 c","Kepler-511",0.05180000,,,"M-R relationship",651.99900000,"Kepler"
"KOI-1843.03","Kepler-974",0.02517081,,,"Mass",134.31100000,"Kepler"
"K2-416 b","K2-416",5.20000000,,,"Mass",120.31100000,"K2"
"TOI-4791 b","TOI-4791",2.31000000,0.32000000,-0.33000000,"Mass",328.80200000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-369 b","Kepler-369",0.00474000,,,"M-R relationship",214.00000000,"Kepler"
"Kepler-778 b","Kepler-778",0.01090000,,,"M-R relationship",938.16800000,"Kepler"
"Kepler-68 d","Kepler-68",0.84007174,0.05034138,-0.05034138,"Mass",144.16600000,"W. M. Keck Observatory"
"tau Cet g","tau Cet",0.00550609,0.00078658,-0.00125853,"Msini",3.60304000,"Multiple Observatories"
"tau Cet h","tau Cet",0.00575780,0.00213951,-0.00081805,"Msini",3.60304000,"Multiple Observatories"
"tau Cet f","tau Cet",0.01236510,0.00330365,-0.00431048,"Msini",3.60304000,"Multiple Observatories"
"WASP-80 b","WASP-80",0.53800000,0.03500000,-0.03600000,"Mass",49.78760000,"SuperWASP"
"TOI-2025 b","TOI-2025",3.60000000,0.33000000,-0.33000000,"Mass",335.98500000,"Transiting Exoplanet Survey Satellite (TESS)"
"CoRoT-35 b","CoRoT-35",1.10000000,0.37000000,-0.37000000,"Mass",1123.21000000,"CoRoT"
"Kepler-878 b","Kepler-878",0.01380000,,,"M-R relationship",791.62500000,"Kepler"
"K2-72 e","K2-72",0.00696000,,,"M-R relationship",66.43210000,"K2"
"HD 25171 b","HD 25171",0.91500000,0.01100000,-0.01200000,"Msini",55.61460000,"La Silla Observatory"
"TOI-913 b","TOI-913",0.02070000,,,"M-R relationship",65.17690000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2498 b","TOI-2498",0.10892670,0.01290004,-0.01286858,"Mass",275.26500000,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 155918 c","HD 155918",5.90900000,0.65300000,-0.76600000,"Mass",27.56100000,"Multiple Observatories"
"Kepler-1508 b","Kepler-1508",0.00733000,,,"M-R relationship",1260.28000000,"Kepler"
"Kepler-156 b","Kepler-156",0.01860000,,,"M-R relationship",443.48300000,"Kepler"
"HD 15906 b","HD 15906",0.01780000,,,"M-R relationship",45.56210000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1356 b","Kepler-1356",0.00930000,,,"M-R relationship",845.22800000,"Kepler"
"Kepler-1012 b","Kepler-1012",0.00696000,,,"M-R relationship",411.07700000,"Kepler"
"TOI-2000 c","TOI-2000",0.25700000,0.01500000,-0.01400000,"Mass",175.71300000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-154 f","Kepler-154",0.00899000,,,"M-R relationship",915.21200000,"Kepler"
"Kepler-1234 b","Kepler-1234",0.02610000,,,"M-R relationship",916.74900000,"Kepler"
"TOI-4308 b","TOI-4308",0.02020000,,,"M-R relationship",108.93200000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-5704 b","TOI-5704",0.03300000,,,"M-R relationship",89.63700000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2000 b","TOI-2000",0.03470000,0.00770000,-0.00750000,"Mass",175.71300000,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 34445 e","HD 34445",0.05290000,0.00890000,-0.00890000,"Msini",46.09070000,"Multiple Observatories"
"Kepler-384 c","Kepler-384",0.00474000,,,"M-R relationship",895.67800000,"Kepler"
"Kepler-1153 b","Kepler-1153",0.01150000,,,"M-R relationship",1119.49000000,"Kepler"
"GJ 680 b","GJ 680",25.10000000,6.15800000,-11.14900000,"Mass",9.67315000,"Multiple Observatories"
"Kepler-37 c","Kepler-37",0.00409026,,,"Mass",63.92070000,"Kepler"
"Kepler-37 b","Kepler-37",0.00248562,,,"Mass",63.92070000,"Kepler"
"TOI-778 b","TOI-778",2.80000000,0.20000000,-0.20000000,"Mass",161.74300000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-715 b","TOI-715",0.00951000,,,"M-R relationship",42.40480000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1271 b","Kepler-1271",0.00879000,,,"M-R relationship",831.99100000,"Kepler"
"Kepler-182 c","Kepler-182",0.03660000,,,"M-R relationship",1549.09000000,"Kepler"
"HIP 48714 b","HIP 48714",0.07205110,0.00880974,-0.00880974,"Msini",10.52980000,"Multiple Observatories"
"rho CrB b","rho CrB",1.09300000,0.02300000,-0.02300000,"Msini",17.46710000,"Fred Lawrence Whipple Observatory"
"Kepler-416 b","Kepler-416",0.18300000,0.16800000,-0.12400000,"Mass",690.81900000,"Kepler"
"K2-152 b","K2-152",0.01840000,,,"M-R relationship",108.44900000,"K2"
"Kepler-1626 b","Kepler-1626",0.01490000,,,"M-R relationship",1368.83000000,"Kepler"
"HD 97048 b","HD 97048",2.50000000,0.50000000,-0.50000000,"Mass",183.85700000,"Atacama Large Millimeter Array (ALMA)"
"HD 4308 b","HD 4308",0.05000000,0.00000000,0.00000000,"Msini",22.01580000,"La Silla Observatory"
"GJ 1252 b","GJ 1252",0.00415318,0.00088098,-0.00088098,"Mass",20.37300000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-19 b","Kepler-19",0.01919275,0.00880979,-0.00849515,"Mass",218.56200000,"Kepler"
"Kepler-68 c","Kepler-68",0.00409026,,,"Mass",144.16600000,"Kepler"
"Kepler-580 b","Kepler-580",0.02240000,,,"M-R relationship",323.89900000,"Kepler"
"HD 217786 c","HD 217786",0.02300000,0.00200000,-0.00200000,"Msini",55.48470000,"Multiple Observatories"
"Kepler-219 b","Kepler-219",0.02830000,,,"M-R relationship",787.07000000,"Kepler"
"Kepler-1941 b","Kepler-1941",0.02360000,,,"M-R relationship",1494.39000000,"Kepler"
"K2-254 b","K2-254",0.01040000,,,"M-R relationship",227.77500000,"K2"
"TOI-4127 b","TOI-4127",2.30000000,0.11000000,-0.11000000,"Mass",319.63200000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-294 b","Kepler-294",0.01190000,,,"M-R relationship",1357.01000000,"Kepler"
"TOI-244 b","TOI-244",0.00843222,0.00094391,-0.00094391,"Mass",22.03370000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-296 b","Kepler-296",0.01010000,,,"M-R relationship",167.00000000,"Kepler"
"HD 64114 b","HD 64114",0.05600478,0.01101218,-0.01101218,"Msini",31.52620000,"Las Campanas Observatory"
"Kepler-1947 b","Kepler-1947",0.00317000,,,"M-R relationship",468.77100000,"Kepler"
"HD 191939 c","HD 191939",0.02517081,0.00314635,-0.00314635,"Mass",53.60890000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1243 b","TOI-1243",0.02422691,0.00471953,-0.00471953,"Mass",43.18650000,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 191939 d","HD 191939",0.00880979,0.00188781,-0.00188781,"Mass",53.60890000,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 108236 c","HD 108236",0.01550000,,,"M-R relationship",64.59780000,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 151450 b","HD 151450",0.12100000,0.01900000,-0.02500000,"Msini",43.60020000,"Multiple Observatories"
"Kepler-546 b","Kepler-546",0.12300000,,,"M-R relationship",1019.65000000,"Kepler"
"NGTS-16 b","NGTS-16",0.66700000,0.15700000,-0.12900000,"Mass",898.16800000,"Next-Generation Transit Survey (NGTS)"
"K2-6 b","K2-6",0.02140000,,,"M-R relationship",316.81900000,"K2"
"Kepler-497 b","Kepler-497",0.09570000,,,"M-R relationship",1291.98000000,"Kepler"
"Kepler-971 b","Kepler-971",0.01630000,,,"M-R relationship",338.52200000,"Kepler"
"Kepler-452 b","Kepler-452",0.01040000,,,"M-R relationship",551.72700000,"Kepler"
"Kepler-553 b","Kepler-553",0.36500000,,,"Mass",728.52500000,"Kepler"
"Kepler-1791 b","Kepler-1791",0.03120000,,,"M-R relationship",602.21800000,"Kepler"
"Kepler-399 d","Kepler-399",0.01330000,,,"M-R relationship",740.53700000,"Kepler"
"Kepler-1355 b","Kepler-1355",0.00859000,,,"M-R relationship",911.26900000,"Kepler"
"Kepler-83 b","Kepler-83",0.00925027,0.00276879,-0.00195074,"Mass",400.40900000,"Kepler"
"Kepler-1827 b","Kepler-1827",0.01290000,,,"M-R relationship",686.46100000,"Kepler"
"Kepler-1886 b","Kepler-1886",0.02260000,,,"M-R relationship",1059.51000000,"Kepler"
"Kepler-102 f","Kepler-102",0.01352931,,,"Mass",107.79600000,"Kepler"
"Kepler-102 b","Kepler-102",0.00346099,,,"Mass",107.79600000,"Kepler"
"Kepler-1467 b","Kepler-1467",0.03430000,,,"M-R relationship",852.88800000,"Kepler"
"TOI-139 b","TOI-139",0.02080000,,,"M-R relationship",42.40610000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-178 b","TOI-178",0.00302050,0.00220245,-0.00204513,"Mass",62.69900000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-178 c","TOI-178",0.01459907,0.00163610,-0.00166757,"Mass",62.69900000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-178 d","TOI-178",0.01636103,0.00122708,-0.00135293,"Mass",62.69900000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-178 e","TOI-178",0.01094930,0.00091244,-0.00091244,"Mass",62.69900000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-178 f","TOI-178",0.01771396,0.00141586,-0.00129000,"Mass",62.69900000,"Multiple Observatories"
"TOI-178 g","TOI-178",0.01384395,0.00122708,-0.00116415,"Mass",62.69900000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-4364 b","TOI-4364",0.01480000,,,"M-R relationship",43.96620000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-4552 b","TOI-4552",0.00575782,0.00147879,-0.00147879,"Mass",27.26840000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-6109 c","TOI-6109",0.06550000,,,"M-R relationship",151.73800000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-6109 b","TOI-6109",0.06640000,,,"M-R relationship",151.73800000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-204 b","Kepler-204",0.02180000,,,"M-R relationship",686.72300000,"Kepler"
"HIP 5158 b","HIP 5158",1.42000000,,,"Msini",51.60260000,"La Silla Observatory"
"Kepler-1311 c","Kepler-1311",0.00624000,,,"M-R relationship",866.33100000,"Kepler"
"TOI-908 b","TOI-908",0.05077268,0.01293780,-0.01270812,"Mass",175.74800000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-366 c","Kepler-366",0.01210000,,,"M-R relationship",1856.28000000,"Kepler"
"HD 136118 b","HD 136118",13.10200000,1.34900000,-1.26500000,"Mass",51.43590000,"Multiple Observatories"
"Kepler-283 b","Kepler-283",0.01630000,,,"M-R relationship",468.09400000,"Kepler"
"GJ 357 b","GJ 357",0.00578926,0.00097536,-0.00097536,"Mass",9.44181000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1052 c","TOI-1052",0.10791987,0.01290004,-0.01164150,"Msini",129.80400000,"Multiple Observatories"
