KIC,Teff,log(g),Mass,Prot,e_Prot,n_Prot,Rper,LPH,w,Ref,_RA,_DE
 ,K,[cm/s2],Msun,d,d, ,ppm, , , ,deg,deg
--------,----,-----,-------,------,------,---,----------,------,-------,-,---------,---------
5779308,4618,4.37,0.7331,26.646,0.407,   ,3312.41,0.481,0.3005,0,287.98572,41.08379
5779510,5470,4.39,0.9567,14.962,0.083,   ,19181.61,1.431,0.6904,0,288.06662,41.0812
5779623,5540,4.52,0.9755,3.347,0.003,   ,5121.83,1.397,0.7096,0,288.10843,41.07671
5779711,5595,4.44,0.9904,26.76,0.593,   ,2346.22,0.493,0.31,0,288.13922,41.05371
5779723,6068,4.21,1.1281,11.392,1.032,   ,742.7,0.317,0.267,0,288.14264,41.06155
5779962,5154,4.71,0.8741,8.092,0.154,   ,9936.45,0.964,0.5214,0,288.24106,41.06324
5780084,4835,4.38,0.7912,21.777,0.131,   ,8727.46,1.086,0.6297,0,288.28055,41.07461
5780169,5333,5.02,0.9206,28.106,3.636,   ,2396.32,0.341,0.2516,0,288.31808,41.03196
5780194,5295,4.91,0.9107,23.767,0.592,   ,4604.61,0.483,0.342,0,288.32599,41.02762
5780245,6162,4.24,1.1581,12.761,3.026,   ,1425.33,0.515,0.3457,0,288.3421,41.00642
5780269,5100,4.96,0.8601,8.104,0.067,   ,13280.75,1.142,0.5976,0,288.34906,41.06518
5780381,4824,4.97,0.7883,19.361,0.13,   ,11054.99,1.258,0.6695,0,288.38794,41.02583
5781140,6085,4.67,1.1334,7.644,0.354,   ,3051.4,1.117,0.6571,0,288.67065,41.02579
5781516,4412,4.58,0.6753,37.424,1.763,   ,2746.7,0.388,0.2766,0,288.80444,41.00804
5781559,4790,4.66,0.7793,21.728,0.307,   ,13817.31,0.943,0.585,0,288.82025,41.00979
5781739,5084,4.54,0.856,24.51,4.127,   ,2932.49,0.473,0.3075,0,288.87997,41.0096
5781749,5915,4.44,1.0813,15.242,0.226,   ,3508.63,0.68,0.4583,0,288.88632,41.0277
5781851,4977,4.26,0.8283,11.542,0.008,   ,14826.89,1.474,0.7379,0,288.92636,41.08225
5781874,6261,4.24,1.191,14.24,0.378,   ,513.49,0.487,0.3012,0,288.93436,41.01834
5781895,6494,4.23,1.274,3.605,0.02,   ,1622.14,0.476,0.3745,0,288.94345,41.04771
5781991,5539,4.46,0.9752,31.464,0.083,   ,6082.15,1.043,0.5265,0,288.9754,41.08224
5782096,4587,4.04,0.7246,17.154,3.617,   ,1847.65,0.705,0.4077,0,289.01263,41.00906
5782134,5833,4.18,1.0572,14.044,0.089,   ,2657.18,0.547,0.3987,0,289.02338,41.09211
5782377,5950,4.6,1.0918,14.432,0.813,   ,1601.25,0.47,0.3559,0,289.10599,41.03727
5782434,5623,4.66,0.998,8.293,0.129,   ,7743.81,1.112,0.635,0,289.12567,41.00531
5782501,5336,4.28,0.9214,24.15,0.93,   ,3089.85,0.656,0.4488,0,289.14105,41.07853
5782570,5527,4.59,0.972,4.082,0.315,   ,1479.63,0.467,0.2709,0,289.16589,41.01559
5782660,5136,4.96,0.8694,28.176,0.256,   ,7989.2,0.845,0.4883,0,289.19769,41.06162
5782710,4409,4.81,0.6744,38.235,0.454,   ,5792.77,0.631,0.3767,0,289.21219,41.08176
5782933,5733,4.69,1.0286,13.432,0.059,   ,14523.15,1.296,0.6726,0,289.27969,41.09777
5783428,5394,4.46,0.9366,22.906,0.094,   ,2968.37,0.925,0.5414,0,289.45273,41.06406
5783430,5567,4.29,0.9828,26.697,4.411,   ,2788.66,0.41,0.267,0,289.45309,41.05921
5783432,5156,4.72,0.8746,30.052,0.388,   ,4588.87,0.433,0.3047,0,289.45343,41.00055
5783528,6176,4.17,1.1627,5.844,0.195,   ,1486.06,0.47,0.3453,0,289.48529,41.07353
5783884,4954,4.3,0.8223,8.258,0.008,   ,19690.3,1.077,0.5682,0,289.59418,41.01114
5783919,5286,4.79,0.9083,18.752,0.146,   ,953.91,0.61,0.3911,0,289.60483,41.02341
5784065,5442,4.76,0.9493,9.182,0.041,   ,5641.64,1.014,0.5755,0,289.65036,41.08594
5784101,6143,4.26,1.152,7.814,0.069,   ,3160.3,0.894,0.5785,0,289.65979,41.00495
5784220,5983,4.26,1.1018,4.125,0.023,   ,8906.48,0.571,0.365,0,289.69846,41.00294
5784252,5643,4.59,1.0035,15.145,0.209,   ,1928.81,0.379,0.2531,0,289.70734,41.04993
5784256,4843,4.92,0.7933,3.447,0.004,   ,56506.69,1.404,0.6795,0,289.70895,41.00591
5784274,5074,4.5,0.8534,15.032,0.032,   ,14977.63,1.317,0.6982,0,289.71915,41.09141
