PSRJ,r_PSRJ,RAJ2000,DEJ2000,Plx,e_Plx,r_Plx,P0,e_P0,r_P0,DM,e_DM,r_DM,S400,e_S400,r_S400,Dist,DistDM,r_DistDM,Age,Edot
 , ,"h:m:s","d:m:s",mas,mas, ,s,s, ,pc/cm3,pc/cm3, ,mJy,mJy, ,kpc,kpc, ,yr,10-7W
------------,-------,-----------,-----------,------,------,-------,-----------------,--------,-------,-----------,-------,-------,-------,--------,------,-----,-----,----,-------------,--------
J1901+0124  ,hfs+04 ,19 01 52.55,+01 24 49.3,      ,      ,       , 0.31881725933500, 1.1e-11,hfs+04 , 314.400000,  1e+00,hfs+04 ,       ,        ,      , 7.20, 7.20,tc93,    1560000.0, 3.9e+33
J1901+0156  ,stwd85 ,19 01 34.29,+01 56 38.2,      ,      ,       , 0.28821915934410, 1.0e-12,hlk+04 , 105.394000,  7e-03,hlk+04 ,  13.70,  0.6000,lylg95, 2.96, 2.96,tc93,    1940000.0, 3.9e+33
J1901+0235  ,lbh+15 ,19 01 00.00,+02 35 00.0,      ,      ,       , 0.88524000000000,        ,lbh+15 , 403.000000,       ,lbh+15 ,       ,        ,      , 8.33, 8.33,tc93,             ,
J1901+0254  ,hfs+04 ,19 01 15.67,+02 54 41.0,      ,      ,       , 1.29969344950000, 3.0e-10,hfs+04 , 185.000000,  5e+00,hfs+04 ,       ,        ,      , 3.95, 3.95,tc93,   45200000.0, 8.2e+30
J1901+0300  ,skl+15 ,19 01 59.62,+03 00 23.3,      ,      ,       , 0.00779677625972, 4.0e-15,skl+15 , 253.887000,  2e-03,skl+15 ,       ,        ,      , 5.50, 5.50,tc93, 2700000000.0, 3.8e+33
J1901-0312  ,hfs+04 ,19 01 15.67,-03 12 29.5,      ,      ,       , 0.35572518656900, 1.4e-11,hfs+04 , 106.400000,  1e+00,hfs+04 ,       ,        ,      , 2.89, 2.89,tc93,    2460000.0, 2.0e+33
J1901-0315  ,lfl+06 ,19 01 16.33,-03 15 14.3,      ,      ,       , 0.80169309688000, 1.1e-10,lfl+06 , 242.600000,  2e+00,lfl+06 ,       ,        ,      , 6.95, 6.95,tc93,    4940000.0, 2.0e+32
J1901+0320  ,hfs+04 ,19 01 03.01,+03 20 18.0,      ,      ,       , 0.63658447822000, 8.0e-11,hfs+04 , 393.000000,  7e+00,hfs+04 ,       ,        ,      , 7.74, 7.74,tc93,   19300000.0, 8.0e+31
J1901+0331  ,dlp70  ,19 01 31.78,+03 31 05.9,      ,      ,       , 0.65545023949000, 4.0e-11,hlk+04 , 402.080000,  1e-02,hlk+04 , 165.00, 10.0000,lylg95, 7.00, 8.05,tc93,    1390000.0, 1.0e+33
J1901+0355  ,hfs+04 ,19 01 30.81,+03 55 58.9,      ,      ,       , 0.55475646483000, 3.0e-11,hfs+04 , 547.000000,  3e+00,hfs+04 ,       ,        ,      ,10.18,10.18,tc93,     690000.0, 2.9e+33
J1901+0413  ,mhl+02 ,19 01 10.30,+04 13 51.0,      ,      ,       , 2.66307968300000, 8.0e-10,mhl+02 , 352.000000,  3e+00,mhl+02 ,       ,        ,      , 6.91, 6.91,tc93,     321000.0, 2.8e+32
J1901+0435  ,lfl+06 ,19 01 32.20,+04 35 23.0,      ,      ,       , 0.69057635810000, 3.0e-10,lfl+06 ,1042.600000,  1e+00,lfl+06 ,       ,        ,      ,30.00,30.00,tc93,    1260000.0, 1.0e+33
J1901+0459  ,lbh+15 ,19 01 00.00,+04 59 00.0,      ,      ,       , 0.87706000000000,        ,lbh+15 ,1103.600000,       ,lbh+15 ,       ,        ,      ,30.00,30.00,tc93,             ,
J1901+0510  ,hfs+04 ,19 01 57.85,+05 10 34.0,      ,      ,       , 0.61475669408000, 1.2e-10,hfs+04 , 429.000000,  7e+00,hfs+04 ,       ,        ,      , 8.47, 8.47,tc93,     313000.0, 5.3e+33
J1901+0621  ,cfl+06 ,19 01 05.96,+06 21 19.0,      ,      ,       , 0.83200194892000, 5.0e-11,lfl+06 ,  94.000000,  7e+00,lfl+06 ,       ,        ,      , 3.11, 3.11,tc93,  732000000.0, 1.2e+30
J1901+0716  ,cjlm87 ,19 01 38.94,+07 16 34.8,      ,      ,       , 0.64399866351000, 4.0e-11,hlk+04 , 252.810000,  7e-02,hlk+04 ,   3.90,        ,lylg95, 3.40, 5.49,tc93,    4460000.0, 3.4e+32
J1901-0906  ,lml+98 ,19 01 53.02,-09 06 10.8,      ,      ,       , 1.78192776234300, 5.0e-12,hlk+04 ,  72.677000,  2e-02,hlk+04 ,  11.00,        ,lml+98, 2.42, 2.42,tc93,   17200000.0, 1.1e+31
